Date,File Path,Keywords Found
5-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/5-December-1985_Lok Sabha Debates.pdf,drugs
11-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/11-December-1985_Lok Sabha Debates.pdf,No keywords found
10-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/10-December-1985_Lok Sabha Debates.pdf,drugs
12-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/12-December-1985_Lok Sabha Debates.pdf,"abortion, drugs, sex"
9-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/9-December-1985_Lok Sabha Debates.pdf,No keywords found
22-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/22-August-1985_Lok Sabha Debates.pdf,"drugs, sex"
13-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/13-December-1985_Lok Sabha Debates.pdf,sex
17-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/17-December-1985_Lok Sabha Debates.pdf,drugs
18-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/18-December-1985_Lok Sabha Debates.pdf,drugs
20-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/20-December-1985_Lok Sabha Debates.pdf,"drugs, sex"
7-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/7-March-1986_Lok Sabha Debates.pdf,drugs
5-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/5-March-1986_Lok Sabha Debates.pdf,drugs
28-February-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/28-February-1986_Lok Sabha Debates.pdf,drugs
19-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/19-December-1985_Lok Sabha Debates.pdf,"drugs, sex"
16-December-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/16-December-1985_Lok Sabha Debates.pdf,drugs
26-February-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/26-February-1986_Lok Sabha Debates.pdf,drugs
12-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/12-March-1986_Lok Sabha Debates.pdf,drugs
25-February-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/25-February-1986_Lok Sabha Debates.pdf,"drugs, sex"
11-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/11-March-1986_Lok Sabha Debates.pdf,drugs
6-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/6-March-1986_Lok Sabha Debates.pdf,drugs
13-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/13-March-1986_Lok Sabha Debates.pdf,"drugs, sex"
10-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/10-March-1986_Lok Sabha Debates.pdf,drugs
17-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/17-March-1986_Lok Sabha Debates.pdf,drugs
21-February-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/21-February-1986_Lok Sabha Debates.pdf,drugs
14-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/14-March-1986_Lok Sabha Debates.pdf,drugs
18-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/18-March-1986_Lok Sabha Debates.pdf,drugs
19-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/19-March-1986_Lok Sabha Debates.pdf,drugs
20-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/20-March-1986_Lok Sabha Debates.pdf,"drugs, sex"
3-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/3-April-1986_Lok Sabha Debates.pdf,"drugs, sex"
21-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/21-March-1986_Lok Sabha Debates.pdf,"abortion, drugs, sex"
4-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/4-March-1986_Lok Sabha Debates.pdf,"drugs, sex"
25-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/25-March-1986_Lok Sabha Debates.pdf,drugs
1-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/1-April-1986_Lok Sabha Debates.pdf,drugs
9-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/9-April-1986_Lok Sabha Debates.pdf,drugs
24-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/24-March-1986_Lok Sabha Debates.pdf,sex
2-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/2-April-1986_Lok Sabha Debates.pdf,drugs
31-March-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/31-March-1986_Lok Sabha Debates.pdf,"abortion, drugs, sex"
7-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/7-April-1986_Lok Sabha Debates.pdf,No keywords found
8-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/8-April-1986_Lok Sabha Debates.pdf,"drugs, sex"
11-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/11-April-1986_Lok Sabha Debates.pdf,drugs
16-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/16-April-1986_Lok Sabha Debates.pdf,drugs
4-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/4-April-1986_Lok Sabha Debates.pdf,drugs
17-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/17-July-1986_Lok Sabha Debates.pdf,No keywords found
17-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/17-April-1986_Lok Sabha Debates.pdf,"drugs, sex"
15-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/15-April-1986_Lok Sabha Debates.pdf,"drugs, sex"
10-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/10-April-1986_Lok Sabha Debates.pdf,drugs
8-May-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/8-May-1986_Lok Sabha Debates.pdf,No keywords found
23-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/23-April-1986_Lok Sabha Debates.pdf,drugs
24-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/24-April-1986_Lok Sabha Debates.pdf,"abortion, drugs, sex"
21-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/21-April-1986_Lok Sabha Debates.pdf,"drugs, sex"
25-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/25-April-1986_Lok Sabha Debates.pdf,drugs
28-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/28-April-1986_Lok Sabha Debates.pdf,No keywords found
2-May-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/2-May-1986_Lok Sabha Debates.pdf,"drugs, sex"
30-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/30-April-1986_Lok Sabha Debates.pdf,"drugs, sex"
6-May-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/6-May-1986_Lok Sabha Debates.pdf,"drugs, sex"
29-April-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/29-April-1986_Lok Sabha Debates.pdf,drugs
22-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/22-July-1986_Lok Sabha Debates.pdf,drugs
11-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/11-August-1986_Lok Sabha Debates.pdf,No keywords found
7-May-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/7-May-1986_Lok Sabha Debates.pdf,"drugs, sex"
20-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/20-August-1986_Lok Sabha Debates.pdf,No keywords found
21-August-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/21-August-1986_Lok Sabha Debates.pdf,No keywords found
24-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/24-July-1986_Lok Sabha Debates.pdf,"drugs, sex"
23-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/23-July-1986_Lok Sabha Debates.pdf,"drugs, sex"
21-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/21-July-1986_Lok Sabha Debates.pdf,drugs
25-July-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/25-July-1986_Lok Sabha Debates.pdf,drugs
